Original Name,Cleaned Name,Href,Crime Data,NAME,NETWORK
Newbury Park (LU Station),Newbury Park (LU Station),/data/7145696,39,Newbury Park,London Underground
Nine Elms (LU Station),Nine Elms (LU Station),/data/7445576,16,Nine Elms,London Underground
North Acton (LU Station),North Acton (LU Station),/data/9251997,21,North Acton,London Underground
North Ealing (LU Station),North Ealing (LU Station),/data/9252184,2,North Ealing,London Underground
North Greenwich (LU Station),North Greenwich (LU Station),/data/6834915,86,North Greenwich,London Underground
North Harrow (LU Station),North Harrow (LU Station),/data/7670803,5,North Harrow,London Underground
North Wembley (LU Station),North Wembley (LU Station),/data/9544833,10,North Wembley,London Underground
Northfields (LU Station),Northfields (LU Station),/data/6035288,7,Northfields,London Underground
Northolt (LU Station),Northolt (LU Station),/data/9251990,19,Northolt,London Underground
Northwick Park (LU Station),Northwick Park (LU Station),/data/9257229,6,Northwick Park,London Underground
Northwood (LU Station),Northwood (LU Station),/data/7671380,10,Northwood,London Underground
Northwood Hills (LU Station),Northwood Hills (LU Station),/data/7671321,0,Northwood Hills,London Underground
Notting Hill Gate (LU Station),Notting Hill Gate (LU Station),/data/6498153,56,Notting Hill Gate,London Underground
Oakwood (LU Station),Oakwood (LU Station),/data/6484245,22,Oakwood,London Underground
Old Street (LU Station),Old Street (LU Station),/data/9532181,42,Old Street,London Underground
Osterley (LU Station),Osterley (LU Station),/data/7335996,8,Osterley,London Underground
Oval (LU Station),Oval (LU Station),/data/9287675,23,Oval,London Underground
Oxford Circus (LU Station),Oxford Circus (LU Station),/data/9281310,443,Oxford Circus,London Underground
Paddington (LU Station),Paddington (LU Station),/data/9265459,97,Paddington,London Underground
Park Royal (LU Station),Park Royal (LU Station),/data/9251995,5,Park Royal,London Underground
Parsons Green (LU Station),Parsons Green (LU Station),/data/6122911,9,Parsons Green,London Underground
Perivale (LU Station),Perivale (LU Station),/data/9251999,14,Perivale,London Underground
Piccadilly Circus (LU Station),Piccadilly Circus (LU Station),/data/9281008,172,Piccadilly Circus,London Underground
Pimlico (LU Station),Pimlico (LU Station),/data/9265810,26,Pimlico,London Underground
Pinner (LU Station),Pinner (LU Station),/data/7671208,6,Pinner,London Underground
Plaistow (LU Station),Plaistow (LU Station),/data/9261907,39,Plaistow,London Underground
Pontoon Dock (DLR),Pontoon Dock (DLR),/data/9264598,4,Pontoon Dock,DLR
Poplar (DLR),Poplar (DLR),/data/9249837,25,Poplar,DLR
Preston Road (LU Station),Preston Road (LU Station),/data/9257223,6,Preston Road,London Underground
Prince Regent (DLR),Prince Regent (DLR),/data/9262057,1,Prince Regent,DLR
Pudding Mill Lane (DLR),Pudding Mill Lane (DLR),/data/9550324,2,Pudding Mill Lane,DLR
Putney Bridge (LU Station),Putney Bridge (LU Station),/data/6113240,9,Putney Bridge,London Underground
Queen's Park (Gt London) (LU Station),Queen's Park (LU Station),/data/9544824,33,Queen's Park,London Underground
Queensbury (LU Station),Queensbury (LU Station),/data/9257222,12,Queensbury,London Underground
Queensway (LU Station),Queensway (LU Station),/data/9265806,23,Queensway,London Underground
Ravenscourt Park (LU Station),Ravenscourt Park (LU Station),/data/6106258,4,Ravenscourt Park,London Underground
Rayners Lane (LU Station),Rayners Lane (LU Station),/data/7671151,20,Rayners Lane,London Underground
Redbridge (LU Station),Redbridge (LU Station),/data/7671765,21,Redbridge,London Underground
Regent's Park (LU Station),Regent's Park (LU Station),/data/8913563,7,Regent's Park,London Underground
Richmond (LU Station),Richmond (LU Station),/data/8200112,0,Richmond,London Underground
Roding Valley (LU Station),Roding Valley (LU Station),/data/9283464,5,Roding Valley,London Underground
Royal Albert (DLR),Royal Albert (DLR),/data/9261904,0,Royal Albert,DLR
Royal Oak (LU Station),Royal Oak (LU Station),/data/9281376,5,Royal Oak,London Underground
Royal Victoria (DLR),Royal Victoria (DLR),/data/9262058,3,Royal Victoria,DLR
Ruislip (LU Station),Ruislip (LU Station),/data/7671025,21,Ruislip,London Underground
Ruislip Gardens (LU Station),Ruislip Gardens (LU Station),/data/6972426,1,Ruislip Gardens,London Underground
Ruislip Manor (LU Station),Ruislip Manor (LU Station),/data/9281057,2,Ruislip Manor,London Underground
Russell Square (LU Station),Russell Square (LU Station),/data/9249145,31,Russell Square,London Underground
Seven Sisters (LU Station),Seven Sisters (LU Station),/data/389173,152,Seven Sisters,London Underground
Shadwell (DLR),Shadwell (DLR),/data/5940016,15,Shadwell,DLR
Shadwell (LU Station),Shadwell (London Overground),/data/9645806,8,Shadwell,London Overground
Shepherd's Bush (LU Station),Shepherd's Bush (LU Station),/data/9253238,60,Shepherd's Bush,London Underground
SHEPHERDS BUSH MARKET (LU Staion),SHEPHERDS BUSH MARKET (LU Station),/data/6111469,14,SHEPHERDS BUSH MARKET,London Underground
Sloane Square (LU Station),Sloane Square (LU Station),/data/6501254,23,Sloane Square,London Underground
Snaresbrook (LU Station),Snaresbrook (LU Station),/data/7146461,9,Snaresbrook,London Underground
South Ealing (LU Station),South Ealing (LU Station),/data/9252182,7,South Ealing,London Underground
South Harrow (LU Station),South Harrow (LU Station),/data/8009569,11,South Harrow,London Underground
South Kensington (LU Station),South Kensington (LU Station),/data/9257918,108,South Kensington,London Underground
South Kenton (LU Station),South Kenton (LU Station),/data/9544758,7,South Kenton,London Underground
South Quay (DLR),South Quay (DLR),/data/9689938,12,South Quay,DLR
South Ruislip (LU Station),South Ruislip (LU Station),/data/9666472,1,South Ruislip,London Underground
South Woodford (LU Station),South Woodford (LU Station),/data/7701305,13,South Woodford,London Underground
Southfields (LU Station),Southfields (LU Station),/data/7688074,10,Southfields,London Underground
Southgate (LU Station),Southgate (LU Station),/data/6483159,12,Southgate,London Underground
Southwark (LU Station),Southwark (LU Station),/data/6827020,27,Southwark,London Underground
St  James's Park (Gt London) (LU Station),St James's Park (LU Station),/data/8660932,33,St James's Park,London Underground
St  John's Wood (LU Station),St John's Wood (LU Station),/data/9265345,21,St John's Wood,London Underground
St  Paul's (LU Station),St Paul's (LU Station),/data/8969206,20,St Paul's,London Underground
Stamford Brook (LU Station),Stamford Brook (LU Station),/data/8200872,12,Stamford Brook,London Underground
Stanmore (LU Station),Stanmore (LU Station),/data/7702804,59,Stanmore,London Underground
Star Lane (DLR),Star Lane (DLR),/data/9267084,1,Star Lane,DLR
Stepney Green (LU Station),Stepney Green (LU Station),/data/9250051,20,Stepney Green,London Underground
Stonebridge Park (LU Station),Stonebridge Park (LU Station),/data/9544822,9,Stonebridge Park,London Underground
Stratford (DLR),Stratford (DLR),/data/9267083,6,Stratford,DLR
Stratford (LU Station),Stratford (LU Station),/data/9266762,133,Stratford,London Underground
Stratford International (DLR),Stratford International (DLR),/data/9267085,0,Stratford International,DLR
Sudbury Hill (LU Station),Sudbury Hill (LU Station),/data/9284437,7,Sudbury Hill,London Underground
Sudbury Town (LU Station),Sudbury Town (LU Station),/data/9257220,7,Sudbury Town,London Underground
Swiss Cottage (LU Station),Swiss Cottage (LU Station),/data/9249151,22,Swiss Cottage,London Underground
Temple (LU Station),Temple (LU Station),/data/9265346,7,Temple,London Underground
Theydon Bois (LU Station),Theydon Bois (LU Station),/data/9282982,11,Theydon Bois,London Underground
Tooting Bec (LU Station),Tooting Bec (LU Station),/data/6372451,8,Tooting Bec,London Underground
Tooting Broadway (LU Station),Tooting Broadway (LU Station),/data/6367742,38,Tooting Broadway,London Underground
Tottenham Court Road (LU Station),Tottenham Court Road (LU Station),/data/9281371,435,Tottenham Court Road,London Underground
Tottenham Hale (LU Station),Tottenham Hale (LU Station),/data/9510485,4,Tottenham Hale,London Underground
Totteridge & Whetstone (LU Station),Totteridge & Whetstone (LU Station),/data/6432381,8,Totteridge & Whetstone,London Underground
Tower Gateway (DLR),Tower Gateway (DLR),/data/9283449,2,Tower Gateway,DLR
Tower Hill (LU Station),Tower Hill (LU Station),/data/9249941,55,Tower Hill,London Underground
Tufnell Park (LU Station),Tufnell Park (LU Station),/data/8507453,15,Tufnell Park,London Underground
Turnham Green (LU Station),Turnham Green (LU Station),/data/9281016,17,Turnham Green,London Underground
Turnpike Lane (LU Station),Turnpike Lane (LU Station),/data/8913673,61,Turnpike Lane,London Underground
Upminster (LU Station),Upminster (LU Station),/data/9281263,16,Upminster,London Underground
Upminster Bridge (LU Station),Upminster Bridge (LU Station),/data/8914746,12,Upminster Bridge,London Underground
Upney (LU Station),Upney (LU Station),/data/7024517,7,Upney,London Underground
Upton Park (LU Station),Upton Park (LU Station),/data/9266764,138,Upton Park,London Underground
Uxbridge (LU Station),Uxbridge (LU Station),/data/7692514,32,Uxbridge,London Underground
Vauxhall (LU Station),Vauxhall (LU Station),/data/9266906,97,Vauxhall,London Underground
Walthamstow Central (LU Station),Walthamstow Central (LU Station),/data/2272206,102,Walthamstow Central,London Underground
Wanstead (LU Station),Wanstead (LU Station),/data/7703738,23,Wanstead,London Underground
Warren Street (LU Station),Warren Street (LU Station),/data/9249370,99,Warren Street,London Underground
Warwick Avenue (LU Station),Warwick Avenue (LU Station),/data/9281381,13,Warwick Avenue,London Underground
Waterloo (LU Station),Waterloo (LU Station),/data/9260456,144,Waterloo,London Underground
Watford (LU Station),Watford (LU Station),/data/7206271,13,Watford,London Underground
Wembley Park (LU Station),Wembley Park (LU Station),/data/9257192,91,Wembley Park,London Underground
West Acton (LU Station),West Acton (LU Station),/data/6034872,5,West Acton,London Underground
West Brompton (LU Station),West Brompton (LU Station),/data/8200664,0,West Brompton,London Underground
West Finchley (LU Station),West Finchley (LU Station),/data/6429049,4,West Finchley,London Underground
West Ham (DLR),West Ham (DLR),/data/9266765,12,West Ham,DLR
West Ham (LU Station),West Ham (LU Station),/data/9267081,127,West Ham,London Underground
West Hampstead (LU Station),West Hampstead (LU Station),/data/9248947,23,West Hampstead,London Underground
West Harrow (LU Station),West Harrow (LU Station),/data/8992436,3,West Harrow,London Underground
West India Quay (DLR),West India Quay (DLR),/data/9250274,8,West India Quay,DLR
West Kensington (LU Station),West Kensington (LU Station),/data/6115993,10,West Kensington,London Underground
West Ruislip (LU Station),West Ruislip (LU Station),/data/9627204,7,West Ruislip,London Underground
West Silvertown (DLR),West Silvertown (DLR),/data/9264578,5,West Silvertown,DLR
Westbourne Park (LU Station),Westbourne Park (LU Station),/data/9257850,22,Westbourne Park,London Underground
Westferry (DLR),Westferry (DLR),/data/9689998,6,Westferry,DLR
Westminster (LU Station),Westminster (LU Station),/data/9079369,133,Westminster,London Underground
White City (LU Station),White City (LU Station),/data/6112833,42,White City,London Underground
Whitechapel (LU Station),Whitechapel (LU Station),/data/9249890,171,Whitechapel,London Underground
Willesden Green (LU Station),Willesden Green (LU Station),/data/9257219,28,Willesden Green,London Underground
Willesden Junction (LU Station),Willesden Junction (LU Station),/data/8200672,8,Willesden Junction,London Underground
Wimbledon (LU Station),Wimbledon (LU Station),/data/9285786,0,Wimbledon,London Underground
Wimbledon Park (LU Station),Wimbledon Park (LU Station),/data/9255111,4,Wimbledon Park,London Underground
Wood Green (LU Station),Wood Green (LU Station),/data/6730180,31,Wood Green,London Underground
Wood Lane (LU Station),Wood Lane (LU Station),/data/9253440,12,Wood Lane,London Underground
Woodford (LU Station),Woodford (LU Station),/data/7145670,31,Woodford,London Underground
Woodside Park (LU Station),Woodside Park (LU Station),/data/8434010,17,Woodside Park,London Underground
Woolwich Arsenal (DLR),Woolwich Arsenal (DLR),/data/9262120,15,Woolwich Arsenal,DLR
