MSOAC,MSOAHOCLN,LAD19C,LAD19N,REG,LSOACOUNT,POPMID15,IMD19 SCORE,MSOARANK,MSOADECILE,MSOAQUINTILE
E02000321,Woolwich Glyndon,E09000011,Greenwich,London,4,7742,32.89893154,1241,2,1
E02000323,Woolwich South,E09000011,Greenwich,London,6,11026,32.19790005,1320,2,1
E02000324,Charlton Village,E09000011,Greenwich,London,4,7864,29.34032248,1619,3,2
E02000326,Charlton Slopes,E09000011,Greenwich,London,4,7327,20.64877153,2921,5,3
E02000327,Woolwich Common,E09000011,Greenwich,London,4,6945,30.4102766,1504,3,2
E02000328,Westcombe Park & Maze Hill,E09000011,Greenwich,London,4,6756,16.88360272,3654,6,3
E02000329,Plumstead South,E09000011,Greenwich,London,4,6351,19.49079704,3136,5,3
E02000331,Hornfair Park,E09000011,Greenwich,London,4,7823,29.18395079,1634,3,2
E02000332,Shooters Hill,E09000011,Greenwich,London,5,7655,15.90175885,3897,6,3
E02000333,Blackheath Standard & Village,E09000011,Greenwich,London,4,6404,13.90021315,4421,7,4
E02000334,Kidbrooke North,E09000011,Greenwich,London,4,6451,25.99331111,2086,4,2
E02000335,Eltham North,E09000011,Greenwich,London,4,6768,11.43167036,5109,8,4
E02000337,Eltham West,E09000011,Greenwich,London,5,8207,30.83114061,1457,3,2
E02000339,Eltham Park,E09000011,Greenwich,London,4,6281,17.05462331,3625,6,3
E02000340,Eltham South,E09000011,Greenwich,London,4,6304,14.54222192,4254,7,4
E02000341,Middlepark & Horn Park,E09000011,Greenwich,London,5,8164,38.41635975,827,2,1
E02000342,Avery Hill,E09000011,Greenwich,London,3,6542,21.59682054,2752,5,3
E02000343,Mottingham East,E09000011,Greenwich,London,4,6910,25.21947873,2189,4,2
E02000344,New Eltham,E09000011,Greenwich,London,4,6614,12.95285546,4681,7,4
E02000345,Stamford Hill North,E09000012,Hackney,London,5,9579,28.99561343,1657,3,2
E02000346,Woodberry Down & Manor House,E09000012,Hackney,London,4,6708,47.16933468,400,1,1
E02000347,Stamford Hill West,E09000012,Hackney,London,5,8654,28.99922128,1656,3,2
E02000348,Stamford Hill South,E09000012,Hackney,London,5,8705,33.21411143,1206,2,1
E02000350,Stoke Newington East & Cazenove,E09000012,Hackney,London,5,10092,24.30656054,2326,4,2
E02000351,Brownswood,E09000012,Hackney,London,6,9225,27.08776195,1925,3,2
E02000352,Clissold North,E09000012,Hackney,London,4,7336,26.09956461,2074,4,2
E02000353,Stoke Newington North,E09000012,Hackney,London,5,8232,23.55505114,2430,4,2
E02000354,Hackney Downs,E09000012,Hackney,London,6,10503,34.86709131,1050,2,1
E02000355,Lower Clapton,E09000012,Hackney,London,5,9160,28.73551386,1696,3,2
E02000356,Clissold South,E09000012,Hackney,London,4,7382,23.85055364,2387,4,2
E02000357,Hackney Marshes,E09000012,Hackney,London,4,6739,43.06423223,553,1,1
E02000358,Stoke Newington South,E09000012,Hackney,London,6,11698,32.00512558,1343,2,1
E02000359,Homerton North,E09000012,Hackney,London,4,6758,30.71862104,1467,3,2
E02000360,Amhurst Road & Pembury Estate,E09000012,Hackney,London,6,11694,36.47772832,934,2,1
E02000361,Hackney Central,E09000012,Hackney,London,4,8470,33.01989433,1230,2,1
E02000362,Hackney Wick,E09000012,Hackney,London,4,7115,42.29267224,596,1,1
E02000363,Homerton South,E09000012,Hackney,London,6,11650,42.04983382,613,1,1
E02000364,Dalston East,E09000012,Hackney,London,5,9924,27.9722636,1798,3,2
E02000365,Dalston Kingsland & De Beauvoir,E09000012,Hackney,London,8,14695,29.74856652,1562,3,2
E02000366,South Hackney,E09000012,Hackney,London,5,9175,34.18647837,1106,2,1
E02000367,London Fields & Mare Street,E09000012,Hackney,London,6,10970,31.86222479,1363,3,2
E02000368,Haggerston East,E09000012,Hackney,London,6,10206,37.53115089,871,2,1
E02000369,Haggerston West & Kingsland Basin,E09000012,Hackney,London,6,13345,34.9383378,1042,2,1
E02000370,Hoxton & Wenlock,E09000012,Hackney,London,4,8888,32.31958978,1307,2,1
E02000371,Shoreditch,E09000012,Hackney,London,7,14198,29.41761959,1608,3,2
E02000372,Old Oak & Wormwood,E09000013,Hammersmith and Fulham,London,5,9566,32.10404746,1332,2,1
E02000373,White City,E09000013,Hammersmith and Fulham,London,4,6639,39.21332851,768,2,1
E02000374,Wormholt Road,E09000013,Hammersmith and Fulham,London,4,6672,27.84842761,1818,3,2
E02000375,Shepherd's Bush North,E09000013,Hammersmith and Fulham,London,4,6909,31.14866001,1423,3,2
