ATCOCode,ATCOCode_revised,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZMAPIC2,940GZZMAPIC2,mantpjdt,,,Piccadilly (Manchester Metrolink),,Piccadilly,,Piccadilly Rail Station,,Off Fairfield Street,,,,To Ashton,,,E0057786,Manchester City Centre,Manchester,,,,,,1,UKOS,384787,397834,-2.230681992,53.47701128,PLT,,,,,,147,2011-02-09T14:59:00,2021-04-16T09:27:13,6,revise,active
9400ZZMAPLL,940GZZMAPLL,mantwjgp,,,Peel Hall (Manchester Metrolink),,Peel hall,,Atlas Business Park,,Simonsway,,,,,,,E0029196,Peel Hall,Wythenshawe,,,,,,1,UKOS,383440,386344,-2.250368853,53.37369326,MET,,,,,,147,2014-09-12T11:50:00,2021-04-27T12:13:28,4,revise,active
9400ZZMAPLL1,940GZZMAPLL1,mantwjgt,,,Peel Hall (Manchester Metrolink),,Peel hall,,Atlas Business Park,,Simonsway,,,,To Airport,,,E0029196,Peel Hall,Wythenshawe,,,,,,1,UKOS,383442,386349,-2.250339056,53.37373827,PLT,,,,,,147,2014-09-12T11:52:00,2021-04-16T09:27:13,4,revise,active
9400ZZMAPLL2,940GZZMAPLL2,mantwjgw,,,Peel Hall (Manchester Metrolink),,Peel hall,,Atlas Business Park,,Simonsway,,,,To Manchester,,,E0029196,Peel Hall,Wythenshawe,,,,,,1,UKOS,383437,386342,-2.250413838,53.37367519,PLT,,,,,,147,2014-09-12T11:55:00,2021-04-16T09:27:13,4,revise,active
9400ZZMAPOM,940GZZMAPOM,mantmwat,,,Pomona (Manchester Metrolink),,Pomona,,,,Off Pomona Stand,,,,,,,N0075140,Salford Quays,Salford,,,,,,0,UKOS,381640,396530,-2.278020538,53.46518945,MET,,,,,,147,2006-10-24T00:00:00,2021-04-27T12:13:28,4,revise,active
9400ZZMAPOM1,940GZZMAPOM1,mantpjgm,,,Pomona (Manchester Metrolink),,Pomona,,,,Off Pomona Stand,,,,To Manchester,,,N0075140,Salford Quays,Salford,,,,,,0,UKOS,381639,396532,-2.278035718,53.4652074,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMAPOM2,940GZZMAPOM2,mantpjgj,,,Pomona (Manchester Metrolink),,Pomona,,,,Off Pomona Stand,,,,From Manchester,,,N0075140,Salford Quays,Salford,,,,,,0,UKOS,381640,396530,-2.278020538,53.46518945,PLT,,,,,,147,2011-02-09T15:01:00,2021-04-16T09:27:13,4,revise,active
9400ZZMAPWC,940GZZMAPWC,mantmwaw,,,Prestwich (Manchester Metrolink),,Prestiwich,,Longfield Centre,,Off Rectory Lane,,,,,,,E0029221,Prestwich,Bury,,,,,,1,UKOS,381418,404104,-2.281815926,53.53325898,MET,,,,,,147,2006-09-20T00:00:00,2021-04-27T12:13:28,4,revise,active
9400ZZMAPWC1,940GZZMAPWC1,mantpjwj,,,Prestwich (Manchester Metrolink),,Prestiwich,,Longfield Centre,,Off Rectory Lane,,,,To Bury,,,E0029221,Prestwich,Bury,,,,,,1,UKOS,381414,404102,-2.281876154,53.53324087,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMAPWC2,940GZZMAPWC2,mantpjwm,,,Prestwich (Manchester Metrolink),,Prestiwich,,Longfield Centre,,Off Rectory Lane,,,,To Manchester,,,E0029221,Prestwich,Bury,,,,,,1,UKOS,381422,404109,-2.281755878,53.53330407,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMAQRD,940GZZMAQRD,mantwdwt,,,Queens Road (Manchester Metrolink),,Queens Road,,,,Off Queens Road,,,,,,,E0029339,Smedley,Cheetham Hill,,,,,,0,UKOS,385063,400575,-2.226655003,53.50165632,MET,,,,,,147,2013-10-09T12:41:00,2021-04-27T12:13:28,3,revise,active
9400ZZMAQRD1,940GZZMAQRD1,mantwgad,,,Queens Road (Manchester Metrolink),,Queens Road,,,,Off Queens Road,,,,To Bury,,,E0029339,Smedley,Cheetham Hill,,,,,,0,UKOS,385059,400575,-2.226715305,53.5016562,PLT,,,,,,147,2013-10-09T12:42:00,2021-04-16T09:27:13,2,revise,active
9400ZZMAQRD2,940GZZMAQRD2,mantwgag,,,Queens Road (Manchester Metrolink),,Queens Road,,,,Off Queens Road,,,,To Manchester,,,E0029339,Smedley,Cheetham Hill,,,,,,0,UKOS,385069,400578,-2.226564693,53.50168345,PLT,,,,,,147,2013-10-09T12:44:00,2021-04-16T09:27:13,2,revise,active
9400ZZMARAD,940GZZMARAD,mantmwda,,,Radcliffe (Manchester Metrolink),,Radcliffe,,Radcliffe Leisure Centre,,Off Spring Lane,,,,,,,E0029232,Radcliffe,Bury,,,,,,0,UKOS,378834,407355,-2.321021181,53.56238128,MET,,,,,,147,2005-10-13T00:00:00,2021-04-27T12:13:28,5,revise,active
